,inning,over,ball,total_runs,player_dismissed,batsman cluster,bowler cluster,batting_team_Chennai Super Kings,batting_team_Delhi Capitals,batting_team_Kings XI Punjab,batting_team_Kolkata Knight Riders,batting_team_Mumbai Indians,batting_team_Rajasthan Royals,batting_team_Royal Challengers Bangalore,batting_team_Sunrisers Hyderabad,bowling_team_Chennai Super Kings,bowling_team_Delhi Capitals,bowling_team_Kings XI Punjab,bowling_team_Kolkata Knight Riders,bowling_team_Mumbai Indians,bowling_team_Rajasthan Royals,bowling_team_Royal Challengers Bangalore,bowling_team_Sunrisers Hyderabad
141,2,3,5,1,0,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
142,2,3,6,6,0,14.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
143,2,4,1,1,0,6.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
144,2,4,2,6,0,14.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
145,2,4,3,2,0,14.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
146,2,4,4,1,0,14.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
147,2,4,5,0,0,14.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
148,2,4,6,1,0,14.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
149,2,4,7,4,0,6.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
150,2,5,1,0,0,14.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
151,2,5,2,0,0,14.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
152,2,5,3,0,0,14.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
153,2,5,4,1,0,14.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
154,2,5,5,0,0,14.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
155,2,5,6,0,0,14.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
156,2,5,7,4,0,14.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
157,2,6,1,0,0,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
158,2,6,2,4,0,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
159,2,6,3,0,0,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
160,2,6,4,0,1,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
161,2,6,5,2,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
162,2,6,6,0,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
163,2,7,1,0,0,14.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
164,2,7,2,6,0,14.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
165,2,7,3,0,1,14.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
166,2,7,4,0,0,7.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
167,2,7,5,1,0,7.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
168,2,7,6,0,0,8.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
169,2,8,1,4,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
170,2,8,2,2,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
171,2,8,3,1,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
172,2,8,4,1,0,8.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
173,2,8,5,1,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
174,2,8,6,4,0,8.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
175,2,9,1,1,0,7.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
176,2,9,2,1,0,8.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
177,2,9,3,0,0,8.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
178,2,9,4,1,0,8.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
179,2,9,5,1,0,7.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
180,2,9,6,6,0,8.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
181,2,9,7,1,0,8.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
182,2,10,1,2,0,8.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
183,2,10,2,4,0,7.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
184,2,10,3,1,0,7.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
185,2,10,4,1,0,8.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
186,2,10,5,0,0,7.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
187,2,10,6,1,0,7.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
188,2,10,7,4,0,8.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
189,2,11,1,1,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
190,2,11,2,1,0,8.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
191,2,11,3,1,0,8.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
192,2,11,4,1,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
193,2,11,5,4,0,8.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
194,2,11,6,4,0,8.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
195,2,11,7,1,0,8.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
196,2,12,1,1,0,8.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
197,2,12,2,2,0,7.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
198,2,12,3,1,0,7.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
199,2,12,4,1,1,8.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
200,2,12,5,1,0,12.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
201,2,12,6,1,0,7.0,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
202,2,13,1,1,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
203,2,13,2,2,0,12.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
204,2,13,3,1,0,12.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
205,2,13,4,4,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
206,2,13,5,0,1,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
207,2,13,6,0,0,12.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
208,2,14,1,0,0,12.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
209,2,14,2,1,0,12.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
210,2,14,3,1,0,12.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
211,2,14,4,0,1,12.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
212,2,14,5,1,0,12.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
213,2,14,6,1,0,7.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
214,2,15,1,1,0,7.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
