,Player,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,Team,Batting Cluster,Bowling Cluster
175,RA Tripathi,24.305,127.405,0.0,0.0,0.0,Rajasthan Royals,12,4
176,RD Chahar,6.0,109.09,23.69,6.55,21.6,Mumbai Indians,2,6
177,RG Sharma,30.245,129.11,0.0,0.0,0.0,Mumbai Indians,0,4
178,RK Bhui,3.5,29.165,0.0,0.0,0.0,Sunrisers Hyderabad,13,4
179,RK Singh,12.875,101.18,0.0,0.0,0.0,Kolkata Knight Riders,2,4
180,RR Pant,35.2575,158.0325,0.0,0.0,0.0,Delhi Capitals,14,4
181,RV Uthappa,27.34,137.245,0.0,0.0,0.0,Kolkata Knight Riders,7,4
182,Rashid Khan,8.033333333333333,153.45333333333332,21.673333333333336,6.543333333333334,19.83333333333333,Sunrisers Hyderabad,11,6
183,Rasikh Salam,0.0,125.0,0.0,10.5,0.0,Mumbai Indians,8,1
184,S Aravind,4.0,40.0,37.315,8.205,26.25,Royal Challengers Bangalore,4,11
185,S Badree,2.6,56.52,20.88,7.52,16.6,Royal Challengers Bangalore,4,6
186,S Dhawan,37.0825,129.1875,0.0,0.0,0.0,Delhi Capitals,0,4
187,S Dube,13.33,121.21,0.0,4.8,0.0,Royal Challengers Bangalore,12,4
188,S Gopal,11.47,86.85333333333334,12.933333333333332,6.9433333333333325,10.433333333333332,Rajasthan Royals,6,9
189,S Kaul,0.3333333333333333,7.1400000000000015,28.37333333333333,8.549999999999999,19.7,Sunrisers Hyderabad,1,0
190,S Lamichhane,0.0,0.0,21.325,7.98,15.8,Delhi Capitals,1,14
191,S Midhun,0.0,0.0,0.0,13.5,0.0,Rajasthan Royals,1,1
192,S Nadeem,0.165,29.305,45.4975,8.965,29.95,Sunrisers Hyderabad,13,10
193,S Sandeep Warrier,0.0,0.0,42.5,7.08,36.0,Kolkata Knight Riders,1,10
194,SA Yadav,28.17,127.6925,0.0,0.0,0.0,Mumbai Indians,0,4
195,SC Kuggeleijn,0.0,0.0,35.5,8.87,24.0,Chennai Super Kings,1,11
196,SD Lad,15.0,115.38,0.0,0.0,0.0,Mumbai Indians,12,4
197,SE Marsh,32.4,127.365,0.0,0.0,0.0,Kings XI Punjab,0,4
198,SE Rutherford,14.6,135.18,59.0,8.63,41.0,Delhi Capitals,7,3
199,SK Raina,30.505,127.205,0.0,3.0,0.0,Chennai Super Kings,0,4
200,SL Malinga,0.0,116.665,31.045,9.14,20.6,Mumbai Indians,8,0
201,SM Curran,23.75,172.72,32.3,9.78,19.8,Kings XI Punjab,3,0
202,SN Khan,29.4,154.38666666666666,0.0,6.0,0.0,Royal Challengers Bangalore,14,1
203,SN Thakur,3.5,250.0,31.025,9.295,20.0,Chennai Super Kings,5,0
204,SO Hetmyer,18.0,123.28,0.0,0.0,0.0,Royal Challengers Bangalore,12,4
205,SP Goswami,17.33,130.0,0.0,0.0,0.0,Sunrisers Hyderabad,12,4
206,SP Jackson,19.0,122.58,0.0,0.0,0.0,Kolkata Knight Riders,12,4
207,SP Narine,16.1025,145.575,32.75,7.3925,26.675,Kolkata Knight Riders,11,11
208,SPD Smith,39.87,116.0,0.0,0.0,0.0,Rajasthan Royals,0,4
209,SR Watson,22.16,126.6875,28.77,6.6675,19.275,Chennai Super Kings,12,0
210,SS Iyer,26.755,115.34250000000002,0.0,0.0,0.0,Delhi Capitals,12,4
211,SS Tiwary,52.0,120.93,0.0,0.0,0.0,Mumbai Indians,0,4
212,STR Binny,15.87,137.995,47.625,9.7475,38.25,Rajasthan Royals,7,10
213,SV Samson,29.93,135.06,0.0,0.0,0.0,Rajasthan Royals,7,4
214,SW Billings,14.625,102.1625,0.0,0.0,0.0,Chennai Super Kings,2,4
215,Sachin Baby,17.375,125.315,2.0,2.4,2.5,Royal Challengers Bangalore,12,4
216,Sandeep Sharma,0.0,101.385,26.2225,7.854999999999999,20.05,Sunrisers Hyderabad,2,6
217,Shakib Al Hasan,13.38,104.7125,32.167500000000004,8.73,23.525,Sunrisers Hyderabad,2,11
218,Shivam Mavi,4.33,86.66,54.0,9.64,33.6,Kolkata Knight Riders,6,3
219,Shubman Gill,33.355000000000004,135.2,0.0,0.0,0.0,Kolkata Knight Riders,7,4
220,Swapnil Singh,3.0,31.575,30.5,9.185,21.0,Kings XI Punjab,13,0
221,T Natarajan,0.0,0.0,57.5,9.07,38.0,Kings XI Punjab,1,3
222,T Shamsi,0.0,0.0,49.0,9.18,32.0,Royal Challengers Bangalore,1,10
223,TA Boult,1.75,59.375,35.17,9.055,23.225,Delhi Capitals,10,11
224,TG Southee,10.75,151.065,59.6875,9.84,34.35,Royal Challengers Bangalore,11,3
225,TK Curran,7.66,82.14,19.66,11.6,10.1,Kolkata Knight Riders,6,14
226,TM Head,28.6,137.405,20.25,5.06,12.0,Royal Challengers Bangalore,7,14
227,TS Mills,2.66,72.72,30.6,8.57,21.4,Royal Challengers Bangalore,10,0
228,UBT Chand,0.0,0.0,0.0,0.0,0.0,Mumbai Indians,1,4
229,UT Yadav,5.5625,96.0475,28.695,8.7775,19.225,Royal Challengers Bangalore,2,0
230,V Kohli,48.3,138.7025,0.0,3.25,0.0,Royal Challengers Bangalore,9,4
231,V Shankar,41.27666666666666,134.77333333333334,42.66666666666666,6.783333333333334,26.0,Sunrisers Hyderabad,0,7
232,VR Aaron,1.3333333333333333,27.616666666666664,55.26,9.133333333333336,35.36666666666667,Rajasthan Royals,13,3
233,Vishnu Vinod,6.33,73.07,0.0,0.0,0.0,Royal Challengers Bangalore,10,4
234,WP Saha,20.0975,133.58499999999998,0.0,0.0,0.0,Sunrisers Hyderabad,7,4
235,Washington Sundar,11.08,102.19,33.25,8.91,21.75,Royal Challengers Bangalore,2,11
236,Y Prithvi Raj,0.0,0.0,57.0,11.4,30.0,Kolkata Knight Riders,1,3
237,YK Pathan,33.07,122.195,22.0,7.6875,18.0,Sunrisers Hyderabad,0,6
238,YS Chahal,1.8325,21.875,23.64,7.7200000000000015,18.5,Royal Challengers Bangalore,13,6
239,Yuvraj Singh,22.3875,123.4775,5.5,7.7325,3.0,Sunrisers Hyderabad,12,12
240,Z Khan,3.5,38.455,32.5,7.75,25.15,Delhi Capitals,4,11
